Article	PRIX D'ACHAT	PRIX DE VENTE	CODE GEO
Acaribial sol ext f/200ml	2149	2865	SOLUTIONS EXTERNES
Acide folique TM 5mg	709	950	ANTIANEMIQUES
Acupan inj amp	544	725	INJECTABLES
Albendazole Africure 400mg B/1	185	250	DEPARASITANS
Alcool 60 (125ml)	671	895	PANSEMENTS
Alcool Éthylique 60	806	1075	PANSEMENTS
Aldactone 50mg B/20	3990	5290	ANTIHYPERTENSEURS
Alfamox 1g pdre susp buv sach B/14	2790	3750	ANTIBIOTIQUES
Alfamox 250mg/5ml pdte susp F/100ml	1485	1980	ANTIBIOTIQUES
Alfamox 500mg pdre susp buv sachet B/14	1984	2645	ANTIBIOTIQUES
Allnat 120mg inj	2089	2785	INJECTABLES
Alozol 400MG B1	225	300	DEPARASITANS
Amlodipine GH 10mg(plaquette)	827	1100	ANTIHYPERTENSEURS
Amlodipine Gh 5mg (plaquette)	517	690	ANTIHYPERTENSEURS
Amloperin 10/10 Plaquette	2273	3030	ANTIHYPERTENSEURS
Amloperin 10mg/10mg CPR B/30	9322	12430	ANTIHYPERTENSEURS
Amloperin 10mg/5mg  B/30	9296	12430	ANTIHYPERTENSEURS
Amloperin 5mg/5mg b/30	6068	8090	ANTIBIOTIQUES
Amoxi denk 500mg	1613	2150	ANTIBIOTIQUES
Amoxicilline IG 250mg	1553	2070	ANTIBIOTIQUES
Amoxicilline UBI 250mg/5ml poudre susp F60ml	776	1035	ANTIBIOTIQUES
Amoxiclav-denk 1000mg	4635	6180	ANTIBIOTIQUES
Amoxy 500mg (Plaquette de 12)	413	550	ANTIBIOTIQUES
Ampicilin sodium 1g	150	200	INJECTABLES
APDYL H sirop	2040	2720	TOUX GRASSES
Apmalt susp	4388	5850	ANTIANEMIQUES
Artefan sirop	1058	1410	ANTIPALUDIQUES
Artrim GH 80/480 cpr b/6	1159	1545	ANTIPALUDIQUES
Asmether L 40/240	799	1065	ANTIPALUDIQUES
Asmoclav 100/12,5mg pdre susp buv f/60ml	2996	3995	ANTIBIOTIQUES
Aspirine Cardio	1560	2080	DOULEURS ET FIEVRES
Astaph 125mg susp F/60ml	1759	2345	ANTIBIOTIQUES
Astaph 250mg susp F/60ml	3615	4820	ANTIBIOTIQUES
Astaph 500mg gel B/12	2059	2745	ANTIBIOTIQUES
Astaph 500mg gel B/24	4001	5335	ANTIBIOTIQUES
Azibact 500mg Cp B/3	3098	4130	ANTIBIOTIQUES
Azicure 200mg/ 5ml Susp F/15ml	3300	4400	ANTIBIOTIQUES
Azitrine 250mg cp B/6	2066	2755	ANTIBIOTIQUES
Azitrine 500 mg cp	3979	5305	ANTIBIOTIQUES
Bactoxime dt 200MG comprimé B/10	3596	4795	ANTIBIOTIQUES
Betastene 0,05% sol buv F/30ml	2348	3130	GOUTTES BUVABLES
Bezathine Benzylpeni 2,4 B/1	825	1100	INJECTABLES
Bezinc gel B/30	2584	3445	TONUS ET VITALITE
Bezinc sp F/200Ml	3285	4380	TONUS ET VITALITE
Bimalaril 60/360 cpr dispo B/6	2066	2755	ANTIPALUDIQUES
Bimalaril BB Susp F/30ml	1148	1530	ANTIPALUDIQUES
BisoproloL BGR 5mg bte/30	1789	2385	ANTIHYPERTENSEURS
Broxol sp F/100ml	1650	2200	TOUX GRASSES
Brustan susp pdre F/100	1065	1420	DOULEURS ET FIEVRES
Buccothymol bain bouche F/150 ml	1065	1420	HYGIENE BUCCALE
Calcheck 10mg cpr B/30	3023	4030	ANTIHYPERTENSEURS
Caplex SP	975	1300	TONUS ET VITALITE
Carofit cpr B/30	5029	6705	TONUS ET VITALITE
Cefaxe 200Mg B/12	3409	4545	ANTIBIOTIQUES
Ceficap 400mg gel B/10	4909	6545	ANTIBIOTIQUES
Cefix 200mg Cp B/10	3743	4990	ANTIBIOTIQUES
Ceftri 1g (Utrixone ) inj	1058	1500	INJECTABLES
Cerulyse Gtte Auriculaire Fl 10ml	1538	2050	GOUTTES AURICULAIRES
Cetafor 500mg (ceftri)	1508	2010	ANTIBIOTIQUES
Cexime 200mg bte/10	2925	3900	ANTIBIOTIQUES
Chibro-cadron collyre fl 5ml	1508	2010	COLLYRES - POM OPHTA
CHL calcium amp inj	500	500	INJECTABLES
CHL Potassium amp inj	500	500	INJECTABLES
CHL Sodium 10% amp	500	500	INJECTABLES
Cipral 500mg (Plaquette)	364	485	ANTIBIOTIQUES
Clarithromycin GH 500mg Cp B/14	2985	3980	ANTIBIOTIQUES
Clavumoccid 1g car B/20	6739	8985	ANTIBIOTIQUES
Clavumoccid 500mg cpr B/12	3330	4440	ANTIBIOTIQUES
Clopidowel 75mg Cpr B/30	4125	5500	ANTIHYPERTENSEURS
Cofantrine 80/480	2037	2716	ANTIPALUDIQUES
Cortancyl 20mg Bt 20	2501	3335	ANTI-INFLAMMATOIRES
Cortipred 20mg Cp B/20	2640	3520	ANTI-INFLAMMATOIRES
Czartan 50mg Cp B/30	2475	3300	ANTIHYPERTENSEURS
Daflon 500mg Cpr/30	3690	4920	DIVERS COMPRIMES
Depakine 500mg Cp B/40	6169	8225	NEUROLOGIE-ANXIOLYTIQUE
Dermobacter So. Ext F/300ml	1560	2080	SOLUTIONS EXTERNES
Dexacyl-Z4mg inj amp	375	500	INJECTABLES
Diabetmin 50mg Cp (Plaquette)	140	187	ANTIDIABETIQUES
Diclo Ubi 75 mg inj amp	75	100	INJECTABLES
Difrarel E cpr Drg bt 24	2460	3280	DIVERS COMPRIMES
Digoxine 0,25mg Cp (plaquette)	525	700	DIVERS COMPRIMES
Dislep 25 Amp inj 2,5ml	825	1100	INJECTABLES
Doliprane 1000mg Cp efferv B/8	1106	1475	DOULEURS ET FIEVRES
Doliprane 500mg cpr efferv	1125	1500	DOULEURS ET FIEVRES
Dolostop 1000.mg	788	1050	DOULEURS ET FIEVRES
Dolostop Ped 2,4% SB FL/90ml	855	1140	DOULEURS ET FIEVRES
Doulerex FGel T/30g	1260	1260	POMMADES-CREMES
Duphalac 10g/ 15ml Sol buv Sach-dose/2	2190	2920	TROUBLES DIGESTIFS
Dynapar AQ 75mg/ml inj amp	413	550	INJECTABLES
Dynapar Qps 4% sol ext F/15ml	2348	3130	SOLUTIONS EXTERNES
Efferalgan PED 3% BUV F/90ML	1185	1580	DOULEURS ET FIEVRES
Exacyl inj 500mg	2100	2100	INJECTABLES
Fedate gélule B/30	1935	2580	ANTIANEMIQUES
Fedate Sp Fl/200ml	2295	3060	ANTIANEMIQUES
Fercefol susp	1436	1915	ANTIANEMIQUES
Finanemi inj AMP	765	1020	INJECTABLES
Fixim 200mg car B/10	3743	4990	ANTIBIOTIQUES
Fleming 1200mg inj (amoxi clav)	1313	1750	INJECTABLES
Flucona Denk 100mg gel B/10	1755	2340	ANTIFONGIQUES
Frakidex collyre fl 5ml	1748	2330	COLLYRES - POM OPHTA
Fucidine 2% creme dermq TB 15G	1778	2370	POMMADES-CREMES
Fuclo 500mg Gel B/24	3019	4025	ANTIBIOTIQUES
Fumafer 200mg CP (plaquette de 25cp)	356	475	ANTIANEMIQUES
Furosemide 40mg Créa (plaquette)	229	305	DIVERS COMPRIMES
Gamalte B6 Sol Buv Fl 60ml	3026	4035	DIVERS COMPRIMES
Gaspral 40mg inj	2389	3185	INJECTABLES
Gelofusine 4%	3150	4200	SOLUTES
Gen -M 30MG inj	675	900	INJECTABLES
Genclav 250/31,5mg  Pdre sp sach/12	2584	3445	ANTIBIOTIQUES
Genclav 500/62,5mg pdre susp B/12	3615	4820	ANTIBIOTIQUES
Gencloben 1mg/0,5mg/10mg Cr T/30G	2768	3690	POMMADES-CREMES
Gencloben Ovule B/7	3480	4640	OVULES
Genpar 1% perf inj 1000mg F/100ml	1035	1380	INJECTABLES
Genset 10mg Cp (plaquette)	638	850	ANTIHISTAMINIQUES
Genset 5mg/5ml Susp buv F/60ml	1058	1410	ANTIHISTAMINIQUES
gentamicine inj	150	200	INJECTABLES
Ginkocer 40 mg cpr B/30	3150	4200	DIVERS COMPRIMES
Glucose 10%	938	1250	SOLUTES
Glyree- M2Cp B/30	4050	5400	ANTIDIABETIQUES
Griseofulvine 500mg 5/26 IDA(plaquette)	1000	1200	ANTIFONGIQUES
Guamen Sirop Fl/200ml	2468	3290	TOUX GRASSES
Gélofusine 4%	3150	4200	SOLUTES
Ibuprofene UBI plaquette	233	310	DOULEURS ET FIEVRES
Indocollyre 0,1% ETO F/5ml B/1	2543	3390	COLLYRES - POM OPHTA
Insulatard 100UI/ml inj F/10ml	5700	7600	FRIGO
Insulin Act rapide 100UI/ml Sol inj F/10ml	5681	7575	FRIGO
Insuline Mixtard 30 100UI inj F/10ml	5681	7575	FRIGO
intercef 100ml cpr B/10	1148	1530	ANTIBIOTIQUES
